Minutový tarif  (km v ceně)  	Legend Fabia  	 Fancy  Scala, Karoq, Octavia, Caddy Van 	Boss  Superb / Kodiaq 
Denní: 6:00 - 20:00 Po-Ne  	5,99 	 7,99  	9,99 
Noční: 20:00 - 6:00 Po-Ne  	6,99 	 8,99  	10,99 
Výhodné balíčky 			
2 hodiny + 10 km 	235 	380 	520 
6 hodin + 20 km 	475 	665 	855 
24 hodin + 20 km 	665 	855 	1 045 
48 hodin + 40 km 	1 130 	1 520 	1 805 
Víkend + 200 km 	1990 	2490 	2950 
4 dny + 150 km 	1990 	2490 	2950 
7 dní + 50 km 	3040 	3450 	3890 
7 dní + 150 km 	4390 	4850 	5150 
10 dní + 200 km 	5950 	6390 	6750 
Km nad rámec balíčků 		7,99 	
Letiště Praha - příjezd 		99 	
Letiště Praha - výjezd 		99 	
